epoch,accuracy,loss,val_accuracy,val_loss
0,0.5684691071510315,1.4893535375595093,0.7927631735801697,0.8572661876678467
1,0.821980357170105,0.7557892799377441,0.8782894611358643,0.5411080718040466
2,0.8802668452262878,0.5414373278617859,0.9243420958518982,0.43004608154296875
3,0.9174859523773193,0.40522757172584534,0.9046052694320679,0.4077606201171875
4,0.9385533928871155,0.3280467092990875,0.9309210777282715,0.3513084948062897
5,0.9473314881324768,0.283435195684433,0.9506579041481018,0.3086530864238739
6,0.9722612500190735,0.20941723883152008,0.9243420958518982,0.33328893780708313
7,0.9698033928871155,0.1989624798297882,0.9375,0.3004767894744873
8,0.978230357170105,0.17988401651382446,0.9638158082962036,0.23747067153453827
9,0.9841994643211365,0.1525227129459381,0.9276315569877625,0.31139445304870605
10,0.975772500038147,0.1673298329114914,0.9407894611358643,0.2761651873588562
11,0.9778792262077332,0.15483109652996063,0.9144737124443054,0.36136749386787415
12,0.9796348214149475,0.1497609168291092,0.9506579041481018,0.2428494244813919
13,0.988061785697937,0.11038435995578766,0.9572368264198303,0.21040983498096466
14,0.9964887499809265,0.08231297880411148,0.9506579041481018,0.21084408462047577
15,0.9968398809432983,0.07702746242284775,0.9440789222717285,0.21358931064605713
16,0.9961376190185547,0.07259073108434677,0.9506579041481018,0.18790693581104279
17,0.9982444047927856,0.06091000884771347,0.9539473652839661,0.20307236909866333
18,1.0,0.054119259119033813,0.9506579041481018,0.18869680166244507
19,1.0,0.04911690577864647,0.9506579041481018,0.179452583193779
20,0.9992977380752563,0.0475829653441906,0.9539473652839661,0.1816525161266327
21,1.0,0.04257718846201897,0.9506579041481018,0.16226784884929657
22,0.9947331547737122,0.0647246316075325,0.9144737124443054,0.37013640999794006
23,0.8669241666793823,0.531798779964447,0.9440789222717285,0.24942608177661896
24,0.9634831547737122,0.19135263562202454,0.9572368264198303,0.21431417763233185
25,0.9778792262077332,0.12972579896450043,0.9671052694320679,0.19293135404586792
26,0.9940308928489685,0.07269764691591263,0.9473684430122375,0.21115784347057343
27,0.995084285736084,0.06511212140321732,0.9572368264198303,0.20625406503677368
28,0.9992977380752563,0.04872620478272438,0.9638158082962036,0.18495945632457733
29,0.9996488690376282,0.043951600790023804,0.9605262875556946,0.18544518947601318
